sepal length (cm)	sepal width (cm)	petal length (cm)	petal width (cm)	class	Total
5.1	3.5	1.4	0.2	Iris-setosa	10.2
4.9	3.0	1.4	0.2	Iris-setosa	9.5
4.7	3.2	1.3	0.2	Iris-setosa	9.4
4.6	3.1	1.5	0.2	Iris-setosa	9.399999999999999
5.0	3.6	1.4	0.2	Iris-setosa	10.2
5.4	3.9	1.7	0.4	Iris-setosa	11.4
4.6	3.4	1.4	0.3	Iris-setosa	9.700000000000001
5.0	3.4	1.5	0.2	Iris-setosa	10.1
4.4	2.9	1.4	0.2	Iris-setosa	8.9
4.9	3.1	1.5	0.1	Iris-setosa	9.6
5.4	3.7	1.5	0.2	Iris-setosa	10.8
4.8	3.4	1.6	0.2	Iris-setosa	9.999999999999998
4.8	3.0	1.4	0.1	Iris-setosa	9.299999999999999
4.3	3.0	1.1	0.1	Iris-setosa	8.5
5.8	4.0	1.2	0.2	Iris-setosa	11.2
5.7	4.4	1.5	0.4	Iris-setosa	12.000000000000002
5.4	3.9	1.3	0.4	Iris-setosa	11.000000000000002
5.1	3.5	1.4	0.3	Iris-setosa	10.3
5.7	3.8	1.7	0.3	Iris-setosa	11.5
5.1	3.8	1.5	0.3	Iris-setosa	10.7
5.4	3.4	1.7	0.2	Iris-setosa	10.7
5.1	3.7	1.5	0.4	Iris-setosa	10.700000000000001
4.6	3.6	1.0	0.2	Iris-setosa	9.399999999999999
5.1	3.3	1.7	0.5	Iris-setosa	10.599999999999998
4.8	3.4	1.9	0.2	Iris-setosa	10.299999999999999
5.0	3.0	1.6	0.2	Iris-setosa	9.799999999999999
5.0	3.4	1.6	0.4	Iris-setosa	10.4
5.2	3.5	1.5	0.2	Iris-setosa	10.399999999999999
5.2	3.4	1.4	0.2	Iris-setosa	10.2
4.7	3.2	1.6	0.2	Iris-setosa	9.7
4.8	3.1	1.6	0.2	Iris-setosa	9.7
5.4	3.4	1.5	0.4	Iris-setosa	10.700000000000001
5.2	4.1	1.5	0.1	Iris-setosa	10.9
5.5	4.2	1.4	0.2	Iris-setosa	11.299999999999999
4.9	3.1	1.5	0.1	Iris-setosa	9.6
5.0	3.2	1.2	0.2	Iris-setosa	9.599999999999998
5.5	3.5	1.3	0.2	Iris-setosa	10.5
4.9	3.1	1.5	0.1	Iris-setosa	9.6
4.4	3.0	1.3	0.2	Iris-setosa	8.9
5.1	3.4	1.5	0.2	Iris-setosa	10.2
5.0	3.5	1.3	0.3	Iris-setosa	10.100000000000001
4.5	2.3	1.3	0.3	Iris-setosa	8.4
4.4	3.2	1.3	0.2	Iris-setosa	9.1
5.0	3.5	1.6	0.6	Iris-setosa	10.7
5.1	3.8	1.9	0.4	Iris-setosa	11.2
4.8	3.0	1.4	0.3	Iris-setosa	9.5
5.1	3.8	1.6	0.2	Iris-setosa	10.699999999999998
4.6	3.2	1.4	0.2	Iris-setosa	9.399999999999999
5.3	3.7	1.5	0.2	Iris-setosa	10.7
5.0	3.3	1.4	0.2	Iris-setosa	9.9
7.0	3.2	4.7	1.4	Iris-versicolor	16.299999999999997
6.4	3.2	4.5	1.5	Iris-versicolor	15.600000000000001
6.9	3.1	4.9	1.5	Iris-versicolor	16.4
5.5	2.3	4.0	1.3	Iris-versicolor	13.100000000000001
6.5	2.8	4.6	1.5	Iris-versicolor	15.4
5.7	2.8	4.5	1.3	Iris-versicolor	14.3
6.3	3.3	4.7	1.6	Iris-versicolor	15.9
4.9	2.4	3.3	1.0	Iris-versicolor	11.600000000000001
6.6	2.9	4.6	1.3	Iris-versicolor	15.4
5.2	2.7	3.9	1.4	Iris-versicolor	13.200000000000001
5.0	2.0	3.5	1.0	Iris-versicolor	11.5
5.9	3.0	4.2	1.5	Iris-versicolor	14.600000000000001
6.0	2.2	4.0	1.0	Iris-versicolor	13.2
6.1	2.9	4.7	1.4	Iris-versicolor	15.1
5.6	2.9	3.6	1.3	Iris-versicolor	13.4
6.7	3.1	4.4	1.4	Iris-versicolor	15.600000000000001
5.6	3.0	4.5	1.5	Iris-versicolor	14.6
5.8	2.7	4.1	1.0	Iris-versicolor	13.6
6.2	2.2	4.5	1.5	Iris-versicolor	14.4
5.6	2.5	3.9	1.1	Iris-versicolor	13.1
5.9	3.2	4.8	1.8	Iris-versicolor	15.700000000000003
6.1	2.8	4.0	1.3	Iris-versicolor	14.2
6.3	2.5	4.9	1.5	Iris-versicolor	15.200000000000001
6.1	2.8	4.7	1.2	Iris-versicolor	14.799999999999997
6.4	2.9	4.3	1.3	Iris-versicolor	14.900000000000002
6.6	3.0	4.4	1.4	Iris-versicolor	15.4
6.8	2.8	4.8	1.4	Iris-versicolor	15.799999999999999
6.7	3.0	5.0	1.7	Iris-versicolor	16.4
6.0	2.9	4.5	1.5	Iris-versicolor	14.9
5.7	2.6	3.5	1.0	Iris-versicolor	12.8
5.5	2.4	3.8	1.1	Iris-versicolor	12.799999999999999
5.5	2.4	3.7	1.0	Iris-versicolor	12.600000000000001
